number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
4,5,4,10,1,j
4,5,4,12,1,j
0,0,0,0,0,o
0,1,3,1,0,j
2,7,8,4,0,j
3,7,5,8,0,j
0,1,2,1,0,j
0,1,0,1,0,o
2,2,1,13,0,j
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
2,2,1,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,1,13,6,0,o
0,0,7,4,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,7,0,j
11,6,4,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
1,4,2,7,0,j
0,1,0,1,0,o
3,4,1,25,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,14,5,0,o
0,1,6,6,0,o
1,2,1,10,0,j
0,0,0,0,0,o
2,1,4,6,0,j
0,4,8,3,0,j
0,1,0,1,0,o
4,3,4,5,0,j
0,0,0,0,0,o
3,1,4,6,0,j
0,0,0,0,0,o
2,2,2,7,0,j
0,1,0,1,0,o
4,5,4,10,1,j
4,5,4,12,1,j
0,0,0,0,0,o
0,1,3,1,0,j
2,7,8,4,0,j
3,7,5,8,0,j
0,1,1,1,0,j
0,1,0,1,0,o
2,1,3,5,0,j
3,1,3,5,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
4,2,1,19,0,j
6,2,1,21,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
12,3,8,11,1,j
0,1,0,1,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
2,5,2,15,0,j
2,5,2,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,6,8,4,0,j
0,1,0,1,0,o
0,4,8,3,0,j
0,1,0,1,0,o
2,5,2,15,0,j
2,5,2,14,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
0,1,1,1,0,o
0,1,1,2,0,o
9,3,6,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
0,1,0,1,0,o
1,1,4,5,0,j
1,2,2,7,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
1,1,3,4,0,j
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,1,1,1,0,o
1,1,3,4,0,j
0,1,1,1,0,j
10,4,5,11,0,j
12,4,3,14,0,j
0,1,1,1,0,j
0,0,1,3,0,j
0,1,0,1,0,o
6,0,3,3,0,j
0,1,0,1,0,o
13,7,5,12,0,j
0,0,1,3,0,j
0,1,0,1,0,o
5,0,3,2,0,j
0,1,0,1,0,o
11,6,4,12,0,j
0,1,0,1,0,o
10,5,4,12,0,j
2,3,3,8,0,j
0,1,0,1,0,o
0,0,1,3,0,j
0,1,0,1,0,o
4,0,3,2,0,j
0,0,2,3,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
1,2,2,5,0,j
0,1,0,1,0,o
3,4,1,25,0,j
1,1,0,10,0,o
3,4,0,24,0,o
0,1,0,2,0,o
1,2,0,16,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,1,2,0,j
0,1,0,1,0,o
3,4,1,25,0,j
1,1,0,10,0,o
1,4,0,18,0,o
0,1,0,2,0,o
0,1,0,1,0,o
